year,race_ethn,medical_rptsrc,n_max,n_min,n_bar,pop,rate_max,rate_min,rate_bar
2016,API,TRUE,1225,1176,1195.7,240471,5.094169359299043,4.890402584927081,4.972325145235808
2016,Black,FALSE,73239,72942,73065.2,672835,108.85135285768429,108.40993705737662,108.59304287083756
2016,Black,TRUE,23593,23440,23498.5,672835,35.06506052746959,34.83766450912928,34.924610045553514
2016,Latinx,FALSE,40127,39904,40031.4,907127,44.23526143527863,43.98943036642058,44.12987376629733
2016,Latinx,TRUE,14117,14032,14080.4,907127,15.562319278336993,15.468616852987509,15.521972116362978
2016,White,FALSE,103906,103184,103491.9,2057885,50.49164554870656,50.14079989892535,50.290419532675536
2016,White,TRUE,38161,38067,38122.2,2057885,18.543796179086783,18.4981182136028,18.524941869929563
2017,AIAN,FALSE,5170,5100,5144.1,75026,68.90944472582838,67.97643483592354,68.5642310665636
2017,AIAN,TRUE,2459,2427,2442.2,75026,32.77530456108549,32.34878575427185,32.551382187508324
2017,API,FALSE,3037,2958,2996.6,237766,12.773062590950767,12.440803142585567,12.603147632546285
2017,API,TRUE,1271,1232,1258.6,237766,5.3455918844578285,5.181565068176274,5.293439768511898
2017,Black,FALSE,75789,75240,75467,661096,114.64144390527245,113.81100475573895,114.15437394871547
2017,Black,TRUE,26102,25886,26001.4,661096,39.48291927344894,39.15618911625543,39.3307477280153
2017,Latinx,FALSE,39932,39740,39800.5,886538,45.04262648639991,44.826053705537724,44.89429669117398
2017,Latinx,TRUE,14701,14579,14642.8,886538,16.582481517994715,16.444867563488536,16.516832893795865
2017,White,FALSE,100914,100583,100742.1,2033564,49.624206565419136,49.461438145049776,49.539675171275654
2017,White,TRUE,39411,39292,39360.8,2033564,19.38026046881239,19.32174251707839,19.355574744635526
2018,AIAN,FALSE,5093,5015,5066.4,73690,69.11385533993759,68.05536707830099,68.75288370199483
2018,AIAN,TRUE,2360,2306,2328,73690,32.026055095671055,31.293255529922646,31.591803501153482
2018,API,FALSE,3013,2941,2967.6,232052,12.984158723044835,12.673883439918638,12.788512919518038
2018,API,TRUE,1467,1405,1445.8,232052,6.321858893696241,6.054677399893127,6.2305000603313045
2018,Black,FALSE,71452,71078,71285.6,648104,110.24773801735525,109.67067013936035,109.99098910051475
2018,Black,TRUE,31751,31641,31694.4,648104,48.99059410218113,48.82086825571204,48.90326243936158
2018,Latinx,FALSE,38403,38224,38311.2,868766,44.204077968060446,43.99803859727476,44.09841084941169
2018,Latinx,TRUE,15621,15520,15579.4,868766,17.980676039347767,17.86441918767539,17.932792029153994
2018,White,FALSE,94406,94143,94280.4,1992731,47.375185110283326,47.24320543013582,47.31215603109501
2018,White,TRUE,45639,45509,45571.3,1992731,22.902740008561114,22.837502904305698,22.86876653196041
2019,AIAN,FALSE,5432,5352,5384.6,73417,73.98831333342413,72.89864745222496,73.34268629881363
2019,AIAN,TRUE,2412,2358,2380.1,73417,32.853426318155194,32.11790184834575,32.41892204802702
2019,API,FALSE,3041,3007,3024.9,230635,13.185336137186464,13.037917055087043,13.115528865957032
2019,API,TRUE,1487,1435,1454.1,230635,6.447416914171743,6.221952435666746,6.304767272963773
2019,Black,FALSE,70138,69711,69901.2,644267,108.86480294660443,108.20203424977532,108.49725346789452
2019,Black,TRUE,35021,34858,34932.3,644267,54.357898200590746,54.10489750367472,54.22022236122602
2019,Latinx,FALSE,35813,35646,35724.4,863709,41.46419685333833,41.270844694219925,41.361616007243185
2019,Latinx,TRUE,15563,15373,15450.7,863709,18.018800313531525,17.798818815133338,17.8887796700046
2019,White,FALSE,88229,87870,88000.7,1971024,44.76302673128282,44.58088790395246,44.647198613512565
2019,White,TRUE,48540,48263,48419.1,1971024,24.626792976645643,24.48625688981971,24.56545430192631
