year,race_ethn,medical_rptsrc,n_max,n_min,n_bar,pop,rate_max,rate_min,rate_bar
2010,AIAN,FALSE,4514,4452,4493.5,77364,58.347551832893856,57.54614549402823,58.08257070472054
2010,AIAN,TRUE,1264,1213,1231.9,77364,16.33834858590559,15.679127242645158,15.923426916912259
2010,API,FALSE,2541,2466,2513.5,224826,11.302073603586773,10.968482292973233,11.179756789695142
2010,API,TRUE,829,800,815.8,224826,3.687295953315008,3.5583073132111056,3.6285838826470247
2010,Black,FALSE,61031,60749,60851.5,668999,91.22734114699722,90.80581585323745,90.9590298341253
2010,Black,TRUE,15789,15681,15736.5,668999,23.600932138912015,23.43949692002529,23.522456685286524
2010,Latinx,FALSE,36943,36660,36773,895771,41.24156732021912,40.9256383606971,41.05178667315642
2010,Latinx,TRUE,10716,10633,10686.1,895771,11.962878905434536,11.870221295398043,11.92949983868645
2010,White,FALSE,96512,95854,96161.3,2084470,46.300498448046746,45.98483067638297,46.13225424208552
2010,White,TRUE,23434,23341,23398.2,2084470,11.242186263174812,11.197570605477651,11.225011633652679
2011,AIAN,FALSE,4516,4450,4491.7,75997,59.42339829203784,58.554942958274665,59.103648828243216
2011,AIAN,TRUE,1420,1378,1401.3,75997,18.68494809005619,18.132294695843257,18.43888574548995
2011,API,FALSE,2476,2407,2449.8,215976,11.46423676704819,11.144756824832388,11.342926991887989
2011,API,TRUE,867,844,854.8,215976,4.014334926102901,3.9078416120309662,3.957847168203874
2011,Black,FALSE,61137,60741,60864.9,665925,91.80763599504449,91.21297443405788,91.3990314224575
2011,Black,TRUE,16752,16655,16693.9,665925,25.15598603446334,25.010323985433793,25.068738972106473
2011,Latinx,FALSE,37446,37290,37374.4,912881,41.01958524714612,40.8486976944421,40.9411522421871
2011,Latinx,TRUE,11158,11094,11129.4,912881,12.222841750458164,12.15273403652831,12.19151236579576
2011,White,FALSE,92712,92219,92371.1,2092313,44.310769946943886,44.07514554466755,44.14784021319946
2011,White,TRUE,25815,25656,25717.6,2092313,12.338020171934122,12.262027717650275,12.291468819435716
2012,AIAN,FALSE,4832,4725,4793.3,77788,62.11755026482234,60.74201676351108,61.6200442227593
2012,AIAN,TRUE,1582,1547,1567.2,77788,20.33732709415334,19.887386229238444,20.147066385560755
2012,API,FALSE,2622,2577,2597.2,222709,11.773210781782506,11.571153388502486,11.661854707263737
