race_ethn,year,state,n_mn,n_min,n_max,pop,r_mn,r_min,r_max,wht_mn,wht_min,wht_max,d,d_min,d_max,grt1
AIAN,2019,AK,100.5,99,103,2304,43.619791666666664,42.96875,44.704861111111114,8.497203680317517,8.118347465271514,8.659570629622948,5.133428985314933,4.961995442708333,5.506645447530865,Greater than white rate
AIAN,2019,AL,1,1,1,555,1.8018018018018018,1.8018018018018018,1.8018018018018018,14.407723728184182,14.358212650080455,14.481990345339769,0.1250580477384601,0.12441672441672443,0.12548928238583412,Less than or equal to white rate
AIAN,2019,AZ,225.2,214,237,6059,37.16784948011223,35.319359630302024,39.115365571876545,31.54075970977379,31.217608682397415,31.8882994939333,1.1784069192409061,1.107596208980083,1.252990450672553,Greater than white rate
AIAN,2019,CT,1.8,1,3,350,5.142857142857142,2.857142857142857,8.571428571428571,5.130037939187332,4.893605322483092,5.388464287678011,1.0024988516306843,0.5302332361516036,1.7515569823434993,Less than or equal to white rate
AIAN,2019,DC,0.3,0,1,79,3.7974683544303796,0,12.658227848101266,4.711133151500125,3.223406893131664,5.702950657079098,0.806062624916722,0,3.9269717624148,Less than or equal to white rate
AIAN,2019,HI,5.8,5,8,97,59.793814432989684,51.546391752577314,82.47422680412372,9.848484848484848,9.569377990430622,10.36682615629984,6.07137192704203,4.972244250594765,8.618556701030927,Greater than white rate
AIAN,2019,IN,6.3,6,8,509,12.37721021611002,11.787819253438114,15.717092337917483,17.955150522219945,17.868113864427606,18.021707966414088,0.6893403762220158,0.6540900160742991,0.8796167551409865,Less than or equal to white rate
AIAN,2019,KS,0.1,0,1,667,0.14992503748125938,0,1.4992503748125936,0.9551616266944734,0.9176225234619395,1.0010427528675703,0.15696300321454995,0,1.6338421698241787,Less than or equal to white rate
AIAN,2019,KY,5.6,2,10,167,33.532934131736525,11.976047904191617,59.880239520958085,28.99505379872946,28.716097423755834,29.395907077052907,1.156505325511964,0.40740528512353286,2.085249908346572,Less than or equal to white rate
AIAN,2019,LA,1.2,1,2,608,1.973684210526316,1.644736842105263,3.289473684210526,27.549265970109772,27.311202221928315,27.774103954503374,0.07164198903403493,0.05921835839598997,0.12044411877150503,Less than or equal to white rate
AIAN,2019,MA,27.6,24,36,665,41.50375939849624,36.090225563909776,54.13533834586466,29.458661646096278,28.798549612997697,29.75152825233015,1.4088813638957738,1.2130545112781954,1.8797939157821917,Greater than white rate
AIAN,2019,MD,0.4,0,1,725,0.5517241379310345,0,1.379310344827586,1.0947795235681703,0.9461057611082954,1.2502111843216759,0.5039591315453384,0,1.4578817733990146,Less than or equal to white rate
AIAN,2019,ME,6.2,3,12,148,41.891891891891895,20.27027027027027,81.08108108108108,12.62250453720508,12.068965517241379,13.157894736842104,3.3188256552742543,1.5405405405405406,6.718146718146718,Greater than white rate
AIAN,2019,MI,76.1,75,78,1291,58.94655305964368,58.09450038729667,60.41828040278854,44.222627150436786,44.1074012540865,44.3217750147382,1.33295004973628,1.3107439936234202,1.3697991422061135,Greater than white rate
AIAN,2019,MN,219,216,225,1427,153.468815697267,151.3665031534688,157.67344078486335,12.151670177550406,12.03731567860367,12.298124184973418,12.629442163497233,12.308096818408895,13.098721093202522,Greater than white rate
AIAN,2019,MS,0,0,0,304,0,0,0,8.245501659581901,8.035870261456939,8.327024981074944,0,0,0,Less than or equal to white rate
AIAN,2019,NJ,1.6,1,3,1089,1.4692378328741966,0.9182736455463728,2.7548209366391188,8.886124316879194,8.775047762918204,8.997200870840183,0.1653406795224977,0.10206214785339364,0.3139379990933501,Less than or equal to white rate
AIAN,2019,NM,55.9,52,63,3060,18.26797385620915,16.99346405228758,20.58823529411765,21.987701512381587,21.106863885657305,22.768821671929533,0.8308268986606987,0.7463479795811269,0.9754284390921724,Less than or equal to white rate
AIAN,2019,NV,13.5,12,17,948,14.240506329113924,12.658227848101266,17.932489451476794,35.90284342956876,35.34288415387972,36.65187986328267,0.39664006994459294,0.34536367289531844,0.5073861367227518,Less than or equal to white rate
AIAN,2019,OH,33.1,32,34,617,53.646677471636956,51.86385737439222,55.10534846029174,32.62562505123371,32.512910894335604,32.69735224198705,1.6443111016997465,1.5861791190478487,1.6948758799044408,Greater than white rate
AIAN,2019,OK,166.9,166,168,6390,26.118935837245697,25.97809076682316,26.291079812206572,7.90529407550684,7.808582276667383,7.987678200444158,3.303980293177279,3.25227057411735,3.3669466339320326,Greater than white rate
AIAN,2019,OR,49.3,44,55,1376,35.82848837209302,31.976744186046513,39.97093023255814,17.84303623561738,17.448050832904002,18.3754078653615,2.007981595675627,1.7401923494892415,2.2908536096868706,Greater than white rate
AIAN,2019,TX,9.6,8,12,5282,1.8174933737220749,1.5145778114350623,2.271866717152594,7.772707804829836,7.70105096695549,7.849306493592067,0.23383014251387574,0.1929568953220921,0.29500736028120933,Less than or equal to white rate
AIAN,2019,UT,28.4,28,30,1049,27.073403241182078,26.692087702573883,28.598665395614873,8.81192827370129,8.672056396340952,8.867877024645423,3.072358557658844,3.009974949854602,3.297795135151757,Greater than white rate
AIAN,2019,WV,2,2,2,34,58.8235294117647,58.8235294117647,58.8235294117647,66.83860543160773,66.68323907774533,66.99397178547014,0.880083135067137,0.8780421259412856,0.8821336549531275,Less than or equal to white rate
Asian/PI,2019,AK,8.6,7,10,779,11.0397946084724,8.985879332477536,12.836970474967908,8.497203680317517,8.118347465271514,8.659570629622948,1.2992267837529197,1.0376818570817288,1.5812294965054914,Greater than white rate
