race_ethn,year,state,n_mn,n_min,n_max,pop,r_mn,r_min,r_max
Black,2019,OH,2466.2,2460,2472,24044,102.57028780568956,102.31242721676925,102.81151222758277
Black,2019,OK,101,98,104,6056,16.6776750330251,16.18229854689564,17.17305151915456
Black,2019,OR,103.2,87,114,1853,55.693470048569885,46.95089044792229,61.52185644900162
Black,2019,TX,749.1,742,755,54155,13.832517773058814,13.70141261194719,13.941464315391007
Black,2019,UT,32.7,30,37,1208,27.06953642384106,24.834437086092713,30.629139072847682
Black,2019,WV,191.8,191,193,1051,182.49286393910563,181.73168411037108,183.6346336822074
Latinx,2019,AK,2.9,2,5,655,4.427480916030534,3.0534351145038165,7.633587786259541
Latinx,2019,AL,12.4,12,14,4348,2.8518859245630175,2.7598896044158234,3.219871205151794
Latinx,2019,AZ,830.4,816,842,33464,24.8147262730098,24.384413100645467,25.161367439636624
Latinx,2019,CT,37.9,32,43,8098,4.680167942701901,3.9515929859224497,5.309953074833293
Latinx,2019,DC,6.5,4,11,1189,5.466778805719091,3.36417157275021,9.251471825063078
Latinx,2019,HI,4.4,1,7,819,5.372405372405373,1.221001221001221,8.547008547008549
Latinx,2019,IN,76.2,75,78,7690,9.908972691807541,9.75292587776333,10.143042912873863
Latinx,2019,KS,2.4,2,3,5857,0.4097660918558989,0.34147174321324913,0.5122076148198738
Latinx,2019,KY,57.6,52,62,3336,17.26618705035971,15.587529976019185,18.585131894484412
Latinx,2019,LA,9.7,7,12,4369,2.2201876859693295,1.6021972991531241,2.746623941405356
Latinx,2019,MA,462,452,471,12619,36.611458911165705,35.8190030905777,37.324669149694905
Latinx,2019,MD,4,1,8,10875,0.367816091954023,0.09195402298850575,0.735632183908046
Latinx,2019,ME,5.5,4,7,243,22.63374485596708,16.46090534979424,28.80658436213992
Latinx,2019,MI,281.9,279,286,7259,38.83455021352803,38.43504614960738,39.3993663038986
Latinx,2019,MN,79.7,76,86,5157,15.45472173744425,14.73725033934458,16.676362226100448
Latinx,2019,MS,5.1,5,6,1515,3.366336633663366,3.3003300330033003,3.9603960396039604
Latinx,2019,NJ,144.2,141,148,25449,5.6662344296436,5.540492750206295,5.815552673975401
Latinx,2019,NM,293.6,290,300,12499,23.489879190335227,23.201856148491878,24.00192015361229
Latinx,2019,NV,265.3,254,274,12737,20.829080631231843,19.94190154667504,21.51213001491717
Latinx,2019,OH,229.2,225,237,7252,31.605074462217317,31.025923883066742,32.68063982349697
Latinx,2019,OK,34,33,35,6735,5.048255382331106,4.8997772828507795,5.1967334818114335
Latinx,2019,OR,103.1,90,112,8315,12.399278412507515,10.823812387251955,13.469633193024654
Latinx,2019,TX,1063.7,1053,1072,179259,5.933872218410233,5.874182049436849,5.980173938268092
